--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.61 | Setpoint: 180.18 | Error: 0.42 | Output: -3.89
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.44 | Output: -13.45
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -8.79
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -8.79
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.74
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -13.44
 | Error: 0.4 | TiltRate: 0.6 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -8.78
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.73
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -13.43
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.97
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.16
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.86
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.50
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.96
 | Error: 0.4 | TiltRate: 0.6 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.35
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.60
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.60
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.14
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.94
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.60
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.13
 | Error: 0.4 | TiltRate: 0.6 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.42 | Output: -3.94
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.13
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.46
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.48
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.71
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.71
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.45
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.70
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.70
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.44
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.44
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.43
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.42
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.40
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -13.45
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -8.79
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -3.74
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.38
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.62 | Setpoint: 180.18 | Error: 0.43 | Output: -13.43
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.52
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.77
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.77
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.51
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.76
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.76
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.50
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.76
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.76
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.50
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.75
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.75
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.60
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.74
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.48
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.74
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.74
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.48
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.47
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.35
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -3.92
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.31
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.31
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.30
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.35
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.43
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.42
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.42
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -3.87
 | Error: 0.4 | TiltRate: 0.6 | MotorSpeed: -3Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.06
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.40
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.39
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.38
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.37
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.37
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.62
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.62
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.36
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.61
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.61
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.42 | Output: -8.35
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -13.40
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.49
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.74
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.74
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.48
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.47
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.73
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.47
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -3.92
 | Error: 0.4 | TiltRate: 0.7 | MotorSpeed: -3Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.32
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.57
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.31
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.31
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.56
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.30
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.55
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.29
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.30
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.54
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.28
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.53
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.53
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.27
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.52
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.52
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.26
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.51
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.52
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.26
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.51
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.51
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.25
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.38
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.62
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.24
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.49
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.49
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.23
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.49
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.49
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.60 | Setpoint: 180.18 | Error: 0.42 | Output: -8.23
